Open time,Open,High,Low,Close,Volume,Trade count,VWAP
2021-07-19 14:00:00,352.96,353.81,352.04,353.77,11912492.0,108951,353.2324
2021-07-19 15:00:00,353.8,355.18,353.41,354.2475,7125657.0,65916,354.6524
2021-07-19 16:00:00,354.25,354.31,352.32,352.75,6399055.0,50956,353.5131
2021-07-19 17:00:00,352.74,353.39,352.09,352.51,8263159.0,51354,354.1234
2021-07-19 18:00:00,352.49,353.87,352.4701,353.03,5186365.0,44152,353.6677
2021-07-19 19:00:00,353.05,354.7,352.3,354.68,9984704.0,80628,353.5516
2021-07-20 14:00:00,355.51,357.32,354.54,357.13,6948192.0,62857,355.7456
2021-07-20 15:00:00,357.1,358.4,356.81,358.35,3913577.0,32967,357.4121
2021-07-20 16:00:00,358.362,359.37,358.3,359.33,3511701.0,26643,358.2657
2021-07-20 17:00:00,359.34,359.355,358.36,358.85,3687838.0,26993,358.5812
2021-07-20 18:00:00,358.86,359.9,358.802,359.54,3391415.0,25348,358.8434
2021-07-20 19:00:00,359.56,360.28,358.73,358.74,8742509.0,50209,358.4579
2021-07-21 14:00:00,359.67,359.95,358.95,359.8637,4523735.0,37530,359.4499
2021-07-21 15:00:00,359.87,360.3901,358.7375,360.27,3648343.0,28464,359.9983
2021-07-21 16:00:00,360.2401,360.28,359.3,359.3899,2356378.0,17956,359.9328
2021-07-21 17:00:00,359.385,360.48,359.18,360.2382,2665949.0,18560,359.7303
2021-07-21 18:00:00,360.24,360.465,359.93,360.45,1906819.0,14097,360.0652
2021-07-21 19:00:00,360.45,361.54,360.1,361.46,5992497.0,38193,360.5892
2021-07-22 14:00:00,362.6705,363.77,362.53,363.435,4860184.0,41464,363.0832
2021-07-22 15:00:00,363.4288,363.75,362.69,363.32,3524637.0,26252,362.9097
2021-07-22 16:00:00,363.32,363.4185,361.99,362.9499,3174019.0,24501,362.5084
2021-07-22 17:00:00,362.95,363.4987,362.86,363.345,1673559.0,15576,363.2576
2021-07-22 18:00:00,363.34,363.85,363.2,363.77,3801938.0,18371,362.8462
2021-07-22 19:00:00,363.78,363.96,363.4401,363.94,4941032.0,34783,363.5206
2021-07-23 14:00:00,365.08,366.12,364.95,366.01,4550890.0,35117,365.3028
2021-07-23 15:00:00,366.02,367.585,365.81,367.32,3958523.0,29397,366.5849
2021-07-23 16:00:00,367.33,367.6796,367.06,367.65,2533223.0,20670,367.1064
2021-07-23 17:00:00,367.67,368.45,367.5199,368.0,3136908.0,21010,367.7343
2021-07-23 18:00:00,368.0025,368.38,367.93,368.09,2870837.0,17022,367.5917
2021-07-23 19:00:00,368.11,368.485,363.9157,368.07,7816553.0,43371,367.3729
2021-07-26 14:00:00,368.05,368.5812,367.63,367.86,4682083.0,44522,368.1016
2021-07-26 15:00:00,367.85,368.76,367.66,368.7115,3095123.0,24217,368.1742
2021-07-26 16:00:00,368.73,368.89,367.67,367.99,2622105.0,21686,368.2145
2021-07-26 17:00:00,367.985,368.57,367.96,368.19,1982318.0,16547,368.282
2021-07-26 18:00:00,368.18,368.58,367.88,368.498,2603328.0,17717,368.231
2021-07-26 19:00:00,368.5,368.65,367.97,368.47,4973317.0,31569,368.3584
2021-07-27 14:00:00,366.65,367.038,362.8675,363.52,11004506.0,106388,364.7268
2021-07-27 15:00:00,363.47,364.08,361.22,362.16,9364966.0,83601,362.5894
2021-07-27 16:00:00,362.15,362.25,360.87,361.29,7281903.0,72693,361.6206
2021-07-27 17:00:00,361.26,361.61,360.16,360.98,6605488.0,60146,360.9236
2021-07-27 18:00:00,360.97,363.7472,360.97,363.715,6810737.0,53559,362.7166
2021-07-27 19:00:00,363.71,364.52,363.051,364.44,7496142.0,63935,363.7475
2021-07-28 14:00:00,365.12,367.45,365.01,366.57,8114867.0,64061,366.2749
2021-07-28 15:00:00,366.56,367.12,365.2932,365.8975,4250033.0,36789,366.221
2021-07-28 16:00:00,365.8912,366.36,365.36,365.57,3176586.0,19558,365.677
2021-07-28 17:00:00,365.585,365.81,364.4,364.975,3272189.0,24301,364.9408
2021-07-28 18:00:00,364.98,366.635,363.77,365.83,6634982.0,59191,365.57
2021-07-28 19:00:00,365.91,366.58,365.57,365.79,5671298.0,44151,366.0799
2021-07-29 14:00:00,366.97,367.595,366.17,367.37,4180774.0,31713,366.8597
2021-07-29 15:00:00,367.38,367.6794,366.81,366.905,2322468.0,21407,367.2768
2021-07-29 16:00:00,366.89,367.57,366.72,366.95,1836688.0,16620,367.1639
2021-07-29 17:00:00,366.96,367.401,366.845,367.1901,1584355.0,13545,367.1411
2021-07-29 18:00:00,367.21,367.33,366.6472,366.935,2095984.0,16708,366.979
2021-07-29 19:00:00,366.96,366.9808,366.37,366.48,4210881.0,30593,366.6088
2021-07-30 14:00:00,364.39,365.17,363.69,363.98,5428223.0,48243,364.4282
2021-07-30 15:00:00,363.96,364.39,363.46,364.05,3235768.0,30834,363.8316
2021-07-30 16:00:00,364.03,365.07,363.98,365.06,2178360.0,19898,364.536
2021-07-30 17:00:00,365.07,365.12,364.46,364.8,3059985.0,19856,365.1953
2021-07-30 18:00:00,364.81,364.8699,363.85,364.52,2555773.0,21600,364.5538
2021-07-30 19:00:00,364.52,364.81,364.04,364.51,8597808.0,47378,364.933
2021-08-02 14:00:00,365.07,366.389,364.27,366.2602,4695397.0,39599,365.4861
